"Year","Age.group","Value","Sex"
1999,"45 to 54 years",35500,"Females"
1999,"55 to 64 years",34200,"Both sexes"
1999,"55 to 64 years",48800,"Males"
1999,"55 to 64 years",20300,"Females"
1999,"65 years and over",26600,"Both sexes"
1999,"65 years and over",34600,"Males"
1999,"65 years and over",22900,"Females"
2000,"15 years and over",33900,"Both sexes"
2000,"15 years and over",45400,"Males"
2000,"15 years and over",25900,"Females"
2000,"15 to 24 years",12000,"Both sexes"
2000,"15 to 24 years",12000,"Males"
2000,"15 to 24 years",12100,"Females"
2000,"25 to 54 years",45800,"Both sexes"
2000,"25 to 54 years",58600,"Males"
2000,"25 to 54 years",34700,"Females"
2000,"25 to 34 years",40900,"Both sexes"
2000,"25 to 34 years",49000,"Males"
2000,"25 to 34 years",32200,"Females"
2000,"35 to 44 years",48000,"Both sexes"
2000,"35 to 44 years",63300,"Males"
2000,"35 to 44 years",36400,"Females"
2000,"45 to 54 years",48200,"Both sexes"
2000,"45 to 54 years",64000,"Males"
2000,"45 to 54 years",35500,"Females"
2000,"55 to 64 years",34100,"Both sexes"
2000,"55 to 64 years",48700,"Males"
2000,"55 to 64 years",20500,"Females"
2000,"65 years and over",26800,"Both sexes"
2000,"65 years and over",34600,"Males"
2000,"65 years and over",22900,"Females"
2001,"15 years and over",34900,"Both sexes"
2001,"15 years and over",45700,"Males"
2001,"15 years and over",26900,"Females"
2001,"15 to 24 years",13000,"Both sexes"
2001,"15 to 24 years",13500,"Males"
2001,"15 to 24 years",12500,"Females"
2001,"25 to 54 years",46000,"Both sexes"
2001,"25 to 54 years",58000,"Males"
2001,"25 to 54 years",35900,"Females"
2001,"25 to 34 years",40900,"Both sexes"
2001,"25 to 34 years",48700,"Males"
2001,"25 to 34 years",33600,"Females"
2001,"35 to 44 years",48600,"Both sexes"
2001,"35 to 44 years",62600,"Males"
2001,"35 to 44 years",37800,"Females"
2001,"45 to 54 years",48200,"Both sexes"
2001,"45 to 54 years",63800,"Males"
2001,"45 to 54 years",37500,"Females"
2001,"55 to 64 years",35900,"Both sexes"
2001,"55 to 64 years",51100,"Males"
2001,"55 to 64 years",23000,"Females"
2001,"65 years and over",27500,"Both sexes"
2001,"65 years and over",35500,"Males"
2001,"65 years and over",23600,"Females"
2002,"15 years and over",34800,"Both sexes"
2002,"15 years and over",45400,"Males"
2002,"15 years and over",26400,"Females"
2002,"15 to 24 years",12400,"Both sexes"
2002,"15 to 24 years",13000,"Males"
2002,"15 to 24 years",11800,"Females"
2002,"25 to 54 years",45800,"Both sexes"
2002,"25 to 54 years",57700,"Males"
2002,"25 to 54 years",35800,"Females"
2002,"25 to 34 years",41100,"Both sexes"
2002,"25 to 34 years",49400,"Males"
2002,"25 to 34 years",33600,"Females"
2002,"35 to 44 years",48300,"Both sexes"
2002,"35 to 44 years",62200,"Males"
2002,"35 to 44 years",37300,"Females"
2002,"45 to 54 years",48100,"Both sexes"
2002,"45 to 54 years",63200,"Males"
2002,"45 to 54 years",36500,"Females"
2002,"55 to 64 years",35400,"Both sexes"
2002,"55 to 64 years",50400,"Males"
2002,"55 to 64 years",21600,"Females"
2002,"65 years and over",27500,"Both sexes"
2002,"65 years and over",35100,"Males"
2002,"65 years and over",23700,"Females"
2003,"15 years and over",34600,"Both sexes"
2003,"15 years and over",45100,"Males"
2003,"15 years and over",26600,"Females"
2003,"15 to 24 years",12200,"Both sexes"
2003,"15 to 24 years",13000,"Males"
2003,"15 to 24 years",11500,"Females"
2003,"25 to 54 years",45600,"Both sexes"
2003,"25 to 54 years",57500,"Males"
2003,"25 to 54 years",35900,"Females"
2003,"25 to 34 years",40400,"Both sexes"
2003,"25 to 34 years",48700,"Males"
2003,"25 to 34 years",33900,"Females"
2003,"35 to 44 years",48300,"Both sexes"
2003,"35 to 44 years",61700,"Males"
2003,"35 to 44 years",37100,"Females"
2003,"45 to 54 years",48400,"Both sexes"
2003,"45 to 54 years",64000,"Males"
2003,"45 to 54 years",36800,"Females"
2003,"55 to 64 years",36700,"Both sexes"
2003,"55 to 64 years",51300,"Males"
2003,"55 to 64 years",23600,"Females"
2003,"65 years and over",27500,"Both sexes"
2003,"65 years and over",35400,"Males"
2003,"65 years and over",23800,"Females"
2004,"15 years and over",35000,"Both sexes"
2004,"15 years and over",46100,"Males"
2004,"15 years and over",26900,"Females"
2004,"15 to 24 years",12100,"Both sexes"
2004,"15 to 24 years",13400,"Males"
2004,"15 to 24 years",11200,"Females"
2004,"25 to 54 years",46100,"Both sexes"
